approveDate,articleID,articleWordCount,commentID,commentType,createDate,depth,editorsSelection,inReplyTo,parentUserDisplayName,recommendations,sectionName,userDisplayName,userID,userLocation,,,,,,,,,,,,,,,,,,,
1514816452,5a4980f57c459f246b63d649,783,25389168,comment,1514767661,1,False,0,,1,Unknown,julioinglasses,15890509,"West Point, CA",,,,,,,,,,,,,,,,,,,
1514817151,5a49915f7c459f246b63d661,809,25389460,comment,1514772994,1,False,0,,3,Unknown,NM,40118532,NY,,,,,,,,,,,,,,,,,,,
1514817142,5a49915f7c459f246b63d661,809,25389481,comment,1514773337,1,False,0,,2,Unknown,Red Sox,66332358,"Crete, IL From Roxbury, MA",,,,,,,,,,,,,,,,,,,
1514817140,5a49915f7c459f246b63d661,809,25389490,comment,1514773427,1,False,0,,12,Unknown,cherrylog754,73137363,"Atlanta, GA",,,,,,,,,,,,,,,,,,,
1514815685,5a4980f57c459f246b63d649,783,25389614,comment,1514776072,1,False,0,,6,Unknown,ted,55080922,Brooklyn,,,,,,,,,,,,,,,,,,,
1514817148,5a49915f7c459f246b63d661,809,25389615,comment,1514776073,1,False,0,,0,Unknown,Walter Hall,68803954,"Portland, OR",,,,,,,,,,,,,,,,,,,
1514815687,5a4980f57c459f246b63d649,783,25389617,comment,1514776164,1,False,0,,11,Unknown,rkthomas13,11290654,Virginia,,,,,,,,,,,,,,,,,,,
1514821734,5a49915f7c459f246b63d661,809,25389620,comment,1514776232,1,False,0,,6,Unknown,sherm,20019851,lee ny,,,,,,,,,,,,,,,,,,,
1514815691,5a4980f57c459f246b63d649,783,25389622,comment,1514776255,1,False,0,,10,Unknown,JVeitch,58436051,Australia,,,,,,,,,,,,,,,,,,,
1514817177,5a49915f7c459f246b63d661,809,25389658,comment,1514776950,1,False,0,,16,Unknown,Julian Grant,32934683,"Pacifica, CA",,,,,,,,,,,,,,,,,,,
1514823872,5a49915f7c459f246b63d661,809,25389660,comment,1514776999,1,False,0,,8,Unknown,Phyliss Dalmatian,61986282,"Wichita, Kansas",,,,,,,,,,,,,,,,,,,
1514821700,5a49915f7c459f246b63d661,809,25389670,comment,1514777193,1,False,0,,4,Unknown,Eli,2000487,Boston,,,,,,,,,,,,,,,,,,,
1514777213,5a49915f7c459f246b63d661,809,25389671,comment,1514777210,1,False,0,,629,Unknown,gemli,57048689,Boston,,,,,,,,,,,,,,,,,,,
1514817147,5a49915f7c459f246b63d661,809,25389682,comment,1514777304,1,False,0,,7,Unknown,Michael Richter,9549801,"Ridgefield, CT",,,,,,,,,,,,,,,,,,,
1514817155,5a49915f7c459f246b63d661,809,25389712,comment,1514777856,1,False,0,,12,Unknown,Larry Roth,76914,"Ravena, NY",,,,,,,,,,,,,,,,,,,
1514816516,5a4980f57c459f246b63d649,783,25389717,comment,1514778007,1,False,0,,1,Unknown,Cobble Hill,51248541,"Brooklyn, NY",,,,,,,,,,,,,,,,,,,
1514778094,5a49915f7c459f246b63d661,809,25389721,comment,1514778091,1,False,0,,286,Unknown,ChristineMcM,2073520,Massachusetts,,,,,,,,,,,,,,,,,,,
1514817186,5a49915f7c459f246b63d661,809,25389794,comment,1514779238,1,False,0,,13,Unknown,Kathy Lollock,65256487,"Santa Rosa, CA",,,,,,,,,,,,,,,,,,,
1514828474,5a49915f7c459f246b63d661,809,25389812,comment,1514779652,1,False,0,,8,Unknown,Susan,18838830,"New York, NY",,,,,,,,,,,,,,,,,,,
1514816518,5a4980f57c459f246b63d649,783,25389831,comment,1514780173,1,False,0,,118,Unknown,Clearheaded,59660693,Philadelphia,,,,,,,,,,,,,,,,,,,
1514817152,5a49915f7c459f246b63d661,809,25389835,comment,1514780333,1,False,0,,0,Unknown,Bruce Stasiuk,39529004,New York,,,,,,,,,,,,,,,,,,,
1514815724,5a4980f57c459f246b63d649,783,25389843,comment,1514780588,1,False,0,,3,Unknown,lester ostroy,17091835,"Redondo Beach, CA",,,,,,,,,,,,,,,,,,,
1514817154,5a49915f7c459f246b63d661,809,25389896,comment,1514781979,1,False,0,,3,Unknown,aem,57113514,Oregon,,,,,,,,,,,,,,,,,,,
1514817139,5a49915f7c459f246b63d661,809,25389902,comment,1514782175,1,False,0,,1,Unknown,patricia,21880782,CO,,,,,,,,,,,,,,,,,,,
1514816485,5a4980f57c459f246b63d649,783,25389930,comment,1514783426,1,False,0,,18,Unknown,Tony,56490081,Seattle,,,,,,,,,,,,,,,,,,,
1514821782,5a49915f7c459f246b63d661,809,25389938,comment,1514783614,1,False,0,,1,Unknown,james jordan,40498339,"Falls church, Va",,,,,,,,,,,,,,,,,,,
1514821770,5a49915f7c459f246b63d661,809,25390009,comment,1514785530,1,False,0,,24,Unknown,Blue Moon,73241821,Old Pueblo,,,,,,,,,,,,,,,,,,,
1514817207,5a49915f7c459f246b63d661,809,25390012,comment,1514785676,1,False,0,,56,Unknown,al,65078305,NY,,,,,,,,,,,,,,,,,,,
1514823837,5a49915f7c459f246b63d661,809,25390029,comment,1514786116,1,False,0,,2,Unknown,Marika,48546151,Pine Brook NJ,,,,,,,,,,,,,,,,,,,
1514815689,5a4980f57c459f246b63d649,783,25390053,comment,1514786720,1,False,0,,1,Unknown,JC,64795388,Oregon,,,,,,,,,,,,,,,,,,,
1514817142,5a49915f7c459f246b63d661,809,25390054,comment,1514786748,1,False,0,,1,Unknown,Blue Moon,73241821,Old Pueblo,,,,,,,,,,,,,,,,,,,
1514787080,5a49915f7c459f246b63d661,809,25390068,comment,1514787072,1,False,0,,25,Unknown,Richard Luettgen,47123844,New Jersey,,,,,,,,,,,,,,,,,,,
1514816447,5a4980f57c459f246b63d649,783,25390074,comment,1514787284,1,False,0,,0,Unknown,Joe Smith,37460727,chicago,,,,,,,,,,,,,,,,,,,
1514817153,5a49915f7c459f246b63d661,809,25390077,comment,1514787459,1,False,0,,4,Unknown,Ami,66854707,"Portland, Oregon",,,,,,,,,,,,,,,,,,,
1514817156,5a49915f7c459f246b63d661,809,25390097,comment,1514788221,1,False,0,,6,Unknown,Raul Campos,56000381,San Francisco,,,,,,,,,,,,,,,,,,,
1514789506,5a49915f7c459f246b63d661,809,25390117,comment,1514789503,1,False,0,,272,Unknown,Howard,4985602,Los Angeles,,,,,,,,,,,,,,,,,,,
1514828269,5a49915f7c459f246b63d661,809,25390120,comment,1514789760,1,False,0,,5,Unknown,Larry Lundgren,4501886,Sweden,,,,,,,,,,,,,,,,,,,
1514821714,5a49915f7c459f246b63d661,809,25390130,comment,1514790443,1,False,0,,3,Unknown,Reduction,83987009,USA,,,,,,,,,,,,,,,,,,,
1514816456,5a4980f57c459f246b63d649,783,25390139,comment,1514791082,1,False,0,,1,Unknown,Colenso,26738619,Cairns,,,,,,,,,,,,,,,,,,,
1514817150,5a49915f7c459f246b63d661,809,25390140,comment,1514791103,1,False,0,,1,Unknown,Ed Davis,71576020,Florida,,,,,,,,,,,,,,,,,,,
1514823839,5a49915f7c459f246b63d661,809,25390160,comment,1514792240,1,False,0,,1,Unknown,Pogo,53680504,33 N 117 W,,,,,,,,,,,,,,,,,,,
1514817152,5a49915f7c459f246b63d661,809,25390190,comment,1514794121,1,False,0,,1,Unknown,Paul,67153200,Palo Alto,,,,,,,,,,,,,,,,,,,
1514816455,5a4980f57c459f246b63d649,783,25390227,comment,1514795934,1,False,0,,7,Unknown,sandcanyongal,61645889,"Tehachapi, CA",,,,,,,,,,,,,,,,,,,
1514823833,5a49915f7c459f246b63d661,809,25390247,comment,1514796640,1,False,0,,2,Unknown,Peter,33631966,Germany,,,,,,,,,,,,,,,,,,,
1514821701,5a49915f7c459f246b63d661,809,25390253,comment,1514796769,1,False,0,,9,Unknown,zb,59179401,Miami,,,,,,,,,,,,,,,,,,,
1514815689,5a4980f57c459f246b63d649,783,25390262,comment,1514797551,1,False,0,,2,Unknown,Mor,65067919,California,,,,,,,,,,,,,,,,,,,
1514828375,5a49915f7c459f246b63d661,809,25390277,comment,1514798785,1,False,0,,3,Unknown,Robert,66788641,Out West,,,,,,,,,,,,,,,,,,,
1514823864,5a49915f7c459f246b63d661,809,25390281,comment,1514799004,1,False,0,,1,Unknown,Dupree,84166282,Diamond Head,,,,,,,,,,,,,,,,,,,
1514801023,5a49915f7c459f246b63d661,809,25390312,comment,1514801019,1,False,0,,245,Unknown,Joel A. Levitt,54399408,"Ann Arbor, Michigan",,,,,,,,,,,,,,,,,,,
1514816451,5a4980f57c459f246b63d649,783,25390322,comment,1514801739,1,False,0,,2,Unknown,Jim,69326779,The Netherlands,,,,,,,,,,,,,,,,,,,
1514821734,5a49915f7c459f246b63d661,809,25390344,comment,1514803177,1,False,0,,3,Unknown,Matthew,12550174,MANHATTAN,,,,,,,,,,,,,,,,,,,
1514828314,5a49915f7c459f246b63d661,809,25390351,comment,1514803517,1,True,0,,127,Unknown,jimbo,66286968,"Guilderland, NY",,,,,,,,,,,,,,,,,,,
1514823879,5a49915f7c459f246b63d661,809,25390377,comment,1514805019,1,False,0,,1,Unknown,Larry Lundgren,4501886,Sweden,,,,,,,,,,,,,,,,,,,
1514823842,5a49915f7c459f246b63d661,809,25390381,comment,1514805194,1,False,0,,3,Unknown,Prometheus,23580303,Caucasus Mountains,,,,,,,,,,,,,,,,,,,
1514823864,5a49915f7c459f246b63d661,809,25390384,comment,1514805294,1,False,0,,0,Unknown,ivygrad91,55742147,Alexandria VA,,,,,,,,,,,,,,,,,,,
1514805455,5a49915f7c459f246b63d661,809,25390386,comment,1514805444,1,False,0,,102,Unknown,walterhett,33605332,"Charleston, SC",,,,,,,,,,,,,,,,,,,
1514816453,5a4980f57c459f246b63d649,783,25390393,comment,1514805802,1,False,0,,6,Unknown,Prometheus,23580303,Caucasus Mountains,,,,,,,,,,,,,,,,,,,
1514821703,5a49915f7c459f246b63d661,809,25390399,comment,1514806103,1,False,0,,0,Unknown,Larry Lundgren,4501886,Sweden,,,,,,,,,,,,,,,,,,,
1514817138,5a49915f7c459f246b63d661,809,25390405,comment,1514806338,1,False,0,,1,Unknown,sdw,56679104,Cleveland,,,,,,,,,,,,,,,,,,,
1514815692,5a4980f57c459f246b63d649,783,25390407,comment,1514806480,1,False,0,,1,Unknown,Bruce,32411948,Ms,,,,,,,,,,,,,,,,,,,
1514821719,5a49915f7c459f246b63d661,809,25390418,comment,1514807283,1,False,0,,4,Unknown,A. Stanton,76430734,"Dallas, TX",,,,,,,,,,,,,,,,,,,
1514817148,5a49915f7c459f246b63d661,809,25390425,comment,1514807930,1,False,0,,0,Unknown,Jeffrey Lewis,52000633,Vermont,,,,,,,,,,,,,,,,,,,
1514817155,5a49915f7c459f246b63d661,809,25390429,comment,1514808125,1,False,0,,26,Unknown,rtj,69313662,Massachusetts,,,,,,,,,,,,,,,,,,,
1514815686,5a4980f57c459f246b63d649,783,25390434,comment,1514808757,1,False,0,,27,Unknown,Independent,46988223,the South,,,,,,,,,,,,,,,,,,,
1514817153,5a49915f7c459f246b63d661,809,25390439,comment,1514808981,1,False,0,,11,Unknown,Melanie,26424286,Bronx,,,,,,,,,,,,,,,,,,,
1514816117,5a4980f57c459f246b63d649,783,25390441,comment,1514809043,1,True,0,,418,Unknown,Independent,46988223,the South,,,,,,,,,,,,,,,,,,,
1514817174,5a49915f7c459f246b63d661,809,25390446,comment,1514809313,1,False,0,,15,Unknown,LFK,60787329,VA,,,,,,,,,,,,,,,,,,,
1514817245,5a49915f7c459f246b63d661,809,25390452,comment,1514809501,1,False,0,,50,Unknown,Fred,26826622,Up North,,,,,,,,,,,,,,,,,,,
1514823868,5a49915f7c459f246b63d661,809,25390469,comment,1514810321,1,False,0,,2,Unknown,Good John Fagin,43151661,Chicago Suburbs,,,,,,,,,,,,,,,,,,,
1514817145,5a49915f7c459f246b63d661,809,25390473,comment,1514810426,1,False,0,,2,Unknown,Des  Johnson,81426273,Forest Hills NY,,,,,,,,,,,,,,,,,,,
